year,sending_country_iso,receiving_country_iso,participants
2014,AL,BE,1
2014,AL,LV,1
2014,AL,PL,1
2014,AM,BG,1
2014,AM,CZ,1
2014,AM,DE,5
2014,AM,EE,1
2014,AM,ES,1
2014,AM,FI,1
2014,AM,FR,3
2014,AM,IT,3
2014,AM,LT,1
2014,AM,LV,1
2014,AM,NO,1
2014,AM,PL,5
2014,AM,RO,2
2014,AM,SE,1
2014,AM,SK,1
2014,AM,UK,3
2014,AT,AM,1
2014,AT,BE,85
2014,AT,BG,9
2014,AT,CY,2
2014,AT,CZ,64
2014,AT,DE,534
2014,AT,DK,130
2014,AT,EE,19
2014,AT,EL,16
2014,AT,ES,441
2014,AT,FI,211
2014,AT,FR,364
2014,AT,HR,40
2014,AT,HU,31
2014,AT,IE,134
2014,AT,IS,24
2014,AT,IT,240
2014,AT,JO,1
2014,AT,LI,3
2014,AT,LT,17
2014,AT,LU,5
2014,AT,LV,14
2014,AT,MK,1
2014,AT,MT,9
2014,AT,NL,198
2014,AT,NO,112
2014,AT,PL,37
2014,AT,PT,68
2014,AT,RO,12
2014,AT,RU,1
2014,AT,SE,262
2014,AT,SI,25
2014,AT,SK,20
2014,AT,TR,75
2014,AT,UK,313
2014,AZ,PL,1
2014,BA,AT,2
2014,BA,DE,5
2014,BA,ES,2
2014,BA,FR,1
2014,BA,IT,1
2014,BA,LU,1
2014,BA,NL,1
2014,BA,PL,1
2014,BA,SE,1
2014,BA,SI,3
2014,BE,AT,104
2014,BE,BG,14
2014,BE,CY,22
2014,BE,CZ,97
2014,BE,DE,422
2014,BE,DK,142
2014,BE,EE,29
2014,BE,EL,21
2014,BE,ES,951
2014,BE,FI,161
2014,BE,FR,761
2014,BE,HR,17
2014,BE,HU,70
2014,BE,IE,119
2014,BE,IS,6
2014,BE,IT,334
2014,BE,JO,1
2014,BE,LI,1
2014,BE,LT,17
2014,BE,LU,18
2014,BE,LV,18
2014,BE,MK,2
2014,BE,MT,11
2014,BE,NL,236
2014,BE,NO,100
2014,BE,PL,83
2014,BE,PS,1
2014,BE,PT,180
2014,BE,RO,20
2014,BE,SE,159
2014,BE,SI,27
2014,BE,SK,2
2014,BE,TR,115
2014,BE,UK,331
2014,BG,AT,41
2014,BG,BA,1
2014,BG,BE,43
2014,BG,CY,1
2014,BG,CZ,50
2014,BG,DE,173
2014,BG,DK,4
2014,BG,EL,35
2014,BG,ES,91
2014,BG,FI,4
2014,BG,FR,70
2014,BG,HR,13
2014,BG,HU,11
2014,BG,IE,2
2014,BG,IT,69
2014,BG,LI,1
2014,BG,LT,4
2014,BG,LV,12
2014,BG,MD,1
2014,BG,MT,24
2014,BG,NL,17
2014,BG,NO,2
2014,BG,PL,60
2014,BG,PT,34
2014,BG,RO,6
2014,BG,SE,11
2014,BG,SI,5
2014,BG,SK,11
2014,BG,TR,49
2014,BG,UK,29
2014,BY,BE,1
2014,BY,DE,5
2014,BY,FR,1
2014,BY,IT,1
2014,BY,LV,1
2014,BY,PL,5
2014,BY,RO,1
2014,CY,AT,2
2014,CY,BE,5
2014,CY,BG,1
2014,CY,CZ,5
2014,CY,DE,4
2014,CY,DK,9
2014,CY,EE,1
2014,CY,EL,80
2014,CY,ES,30
2014,CY,FI,1
2014,CY,FR,16
2014,CY,IE,3
2014,CY,IT,20
2014,CY,LV,3
2014,CY,NL,2
2014,CY,PL,3
2014,CY,PT,3
2014,CY,RO,1
2014,CY,SE,2
2014,CY,SK,1
2014,CY,TR,3
2014,CY,UK,26
2014,CZ,AT,220
2014,CZ,BE,191
2014,CZ,BG,18
2014,CZ,CY,21
2014,CZ,DE,782
2014,CZ,DK,102
2014,CZ,EE,68
2014,CZ,EL,119
2014,CZ,ES,416
2014,CZ,FI,295
2014,CZ,FR,445
2014,CZ,GE,2
2014,CZ,HR,25
2014,CZ,HU,44
2014,CZ,IE,68
2014,CZ,IS,17
2014,CZ,IT,169
2014,CZ,LI,4
2014,CZ,LT,83
2014,CZ,LU,3
2014,CZ,LV,30
2014,CZ,MK,1
2014,CZ,MT,13
2014,CZ,NL,148
2014,CZ,NO,111
2014,CZ,PL,124
2014,CZ,PT,248
2014,CZ,RO,10
2014,CZ,SE,143
2014,CZ,SI,118
2014,CZ,SK,66
2014,CZ,TR,176
2014,CZ,UK,328
2014,DE,AT,666
2014,DE,BA,2
2014,DE,BE,517
2014,DE,BG,59
2014,DE,BY,2
2014,DE,CY,42
2014,DE,CZ,430
2014,DE,DK,647
2014,DE,EE,199
2014,DE,EL,167
2014,DE,ES,4422
2014,DE,FI,1204
2014,DE,FR,4415
2014,DE,HR,50
2014,DE,HU,493
2014,DE,IE,954
2014,DE,IS,99
2014,DE,IT,1322
2014,DE,JO,2
2014,DE,LI,8
2014,DE,LT,134
2014,DE,LU,61
2014,DE,LV,176
2014,DE,MK,3
2014,DE,MT,78
2014,DE,NL,852
2014,DE,NO,917
2014,DE,PL,675
2014,DE,PT,559
2014,DE,RO,67
2014,DE,RS,1
2014,DE,RU,7
2014,DE,SE,1732
2014,DE,SI,95
2014,DE,SK,62
2014,DE,TR,1557
2014,DE,UA,1
2014,DE,UK,3259
2014,DK,AT,69
2014,DK,BE,66
2014,DK,BG,14
2014,DK,CY,7
2014,DK,CZ,39
2014,DK,DE,334
2014,DK,EE,12
2014,DK,EL,12
2014,DK,ES,230
2014,DK,FI,13
2014,DK,FR,309
2014,DK,HU,25
2014,DK,IE,56
2014,DK,IS,12
2014,DK,IT,75
2014,DK,JO,2
2014,DK,LT,30
2014,DK,LV,12
2014,DK,MT,16
2014,DK,NL,191
2014,DK,NO,88
2014,DK,PL,29
2014,DK,PT,49
2014,DK,RO,25
2014,DK,RU,1
2014,DK,SE,46
2014,DK,SI,2
2014,DK,SK,6
2014,DK,TR,94
2014,DK,UK,450
2014,DZ,FR,1
2014,EE,AT,21
2014,EE,BE,16
2014,EE,BG,3
2014,EE,CY,9
2014,EE,CZ,37
2014,EE,DE,90
2014,EE,DK,14
2014,EE,EL,7
2014,EE,ES,46
2014,EE,FI,46
2014,EE,FR,37
2014,EE,GE,1
2014,EE,HR,1
2014,EE,HU,14
2014,EE,IE,2
2014,EE,IS,2
2014,EE,IT,26
2014,EE,JO,2
2014,EE,LT,4
2014,EE,LV,6
2014,EE,MK,1
2014,EE,MT,1
2014,EE,NL,34
2014,EE,NO,13
2014,EE,PL,5
2014,EE,PT,38
2014,EE,RO,3
2014,EE,SE,27
2014,EE,SI,3
2014,EE,SK,4
2014,EE,TR,9
2014,EE,UK,19
2014,EG,DE,1
2014,EG,ES,1
2014,EG,NO,1
2014,EG,SE,2
2014,EL,AT,63
2014,EL,BE,68
2014,EL,BG,9
2014,EL,CY,60
2014,EL,CZ,174
2014,EL,DE,333
2014,EL,DK,30
2014,EL,EE,7
2014,EL,ES,212
2014,EL,FI,48
2014,EL,FR,248
2014,EL,HR,7
2014,EL,HU,28
2014,EL,IE,13
2014,EL,IS,1
2014,EL,IT,139
2014,EL,LT,12
2014,EL,LU,2
2014,EL,LV,8
2014,EL,MT,3
2014,EL,NL,69
2014,EL,NO,16
2014,EL,PL,86
2014,EL,PT,69
2014,EL,RO,16
2014,EL,RU,1
2014,EL,SE,42
2014,EL,SI,18
2014,EL,SK,24
2014,EL,TR,63
2014,EL,UK,102
2014,ES,AT,412
2014,ES,BE,1208
2014,ES,BG,107
2014,ES,BY,2
2014,ES,CY,25
2014,ES,CZ,750
2014,ES,DE,2680
2014,ES,DK,394
2014,ES,EE,79
2014,ES,EL,145
2014,ES,FI,513
2014,ES,FR,2792
2014,ES,GE,1
2014,ES,HR,105
2014,ES,HU,327
2014,ES,IE,578
2014,ES,IS,24
2014,ES,IT,4831
2014,ES,LT,223
2014,ES,LU,8
2014,ES,LV,91
2014,ES,MD,1
2014,ES,MT,21
2014,ES,NL,915
2014,ES,NO,374
2014,ES,PL,2153
2014,ES,PT,1741
2014,ES,RO,289
2014,ES,RS,1
2014,ES,RU,2
2014,ES,SE,557
2014,ES,SI,216
2014,ES,SK,208
2014,ES,TR,279
2014,ES,UK,2570
2014,FI,AT,175
2014,FI,BE,103
2014,FI,CY,7
2014,FI,CZ,102
2014,FI,DE,527
2014,FI,DK,56
2014,FI,EE,30
2014,FI,EL,20
2014,FI,ES,328
2014,FI,FR,231
2014,FI,HR,17
2014,FI,HU,74
2014,FI,IE,81
2014,FI,IS,12
2014,FI,IT,92
2014,FI,LI,3
2014,FI,LT,8
2014,FI,LU,2
2014,FI,LV,8
2014,FI,MK,2
2014,FI,MT,14
2014,FI,NL,272
2014,FI,NO,40
2014,FI,PL,39
2014,FI,PT,75
2014,FI,RO,4
2014,FI,RU,1
2014,FI,SE,110
2014,FI,SI,23
2014,FI,SK,16
2014,FI,TR,20
2014,FI,UK,325
2014,FR,AM,6
2014,FR,AT,307
2014,FR,AZ,1
2014,FR,BA,3
2014,FR,BE,641
2014,FR,BG,67
2014,FR,BY,1
2014,FR,CY,49
2014,FR,CZ,543
2014,FR,DE,2794
2014,FR,DK,365
2014,FR,EE,86
2014,FR,EL,138
2014,FR,ES,3605
2014,FR,FI,817
2014,FR,HR,74
2014,FR,HU,380
2014,FR,IE,1221
2014,FR,IS,53
2014,FR,IT,1353
2014,FR,JO,1
2014,FR,LB,3
2014,FR,LT,181
2014,FR,LU,80
2014,FR,LV,85
2014,FR,MA,1
2014,FR,MD,7
2014,FR,ME,2
2014,FR,MK,4
2014,FR,MT,25
2014,FR,NL,704
2014,FR,NO,582
2014,FR,PL,702
2014,FR,PS,2
2014,FR,PT,331
2014,FR,RO,226
2014,FR,RS,2
2014,FR,RU,3
2014,FR,SE,1141
2014,FR,SI,82
2014,FR,SK,86
2014,FR,TR,542
2014,FR,UA,1
2014,FR,UK,3752
2014,GE,BE,2
2014,GE,CZ,1
2014,GE,DE,6
2014,GE,EE,1
2014,GE,FI,2
2014,GE,FR,1
2014,GE,HR,1
2014,GE,HU,1
2014,GE,IT,3
2014,GE,LT,2
2014,GE,LV,1
2014,GE,PL,9
2014,GE,RO,2
2014,GE,SE,1
2014,GE,SK,2
2014,GE,UK,1
2014,HR,AT,56
2014,HR,BE,24
2014,HR,BG,8
2014,HR,CZ,34
2014,HR,DE,109
2014,HR,DK,2
2014,HR,EE,4
2014,HR,EL,1
2014,HR,ES,54
2014,HR,FI,6
2014,HR,FR,29
2014,HR,GE,1
2014,HR,HU,20
2014,HR,IE,5
2014,HR,IT,51
2014,HR,LT,5
2014,HR,LV,8
2014,HR,MT,2
2014,HR,NL,6
2014,HR,NO,6
2014,HR,PL,66
2014,HR,PT,34
2014,HR,RO,2
2014,HR,SE,14
2014,HR,SI,35
2014,HR,SK,6
2014,HR,TR,4
2014,HR,UK,11
2014,HU,AL,1
2014,HU,AT,126
2014,HU,BE,101
2014,HU,BG,4
2014,HU,CY,64
2014,HU,CZ,48
2014,HU,DE,582
2014,HU,DK,28
2014,HU,EE,26
2014,HU,EL,32
2014,HU,ES,165
2014,HU,FI,78
2014,HU,FR,175
2014,HU,HR,9
2014,HU,IE,26
2014,HU,IS,2
2014,HU,IT,176
2014,HU,LI,3
2014,HU,LT,11
2014,HU,LU,2
2014,HU,LV,4
2014,HU,MT,5
2014,HU,NL,145
2014,HU,NO,20
2014,HU,PL,88
2014,HU,PT,108
2014,HU,RO,49
2014,HU,RU,1
2014,HU,SE,25
2014,HU,SI,13
2014,HU,SK,23
2014,HU,TR,47
2014,HU,UK,151
2014,IE,AT,58
2014,IE,BA,1
2014,IE,BE,53
2014,IE,BG,5
2014,IE,CY,8
2014,IE,CZ,43
2014,IE,DE,283
2014,IE,DK,27
2014,IE,EL,7
2014,IE,ES,329
2014,IE,FI,22
2014,IE,FR,472
2014,IE,GE,1
2014,IE,HU,14
2014,IE,IT,81
2014,IE,LT,3
2014,IE,LU,12
2014,IE,MD,3
2014,IE,MT,18
2014,IE,NL,101
2014,IE,NO,10
2014,IE,PL,22
2014,IE,PT,17
2014,IE,RO,1
2014,IE,SE,54
2014,IE,SI,12
2014,IE,SK,4
2014,IE,TR,4
2014,IE,UK,132
2014,IL,DE,2
2014,IL,PL,2
2014,IS,AT,3
2014,IS,BE,7
2014,IS,CZ,2
2014,IS,DE,16
2014,IS,DK,28
2014,IS,EE,1
2014,IS,EL,3
2014,IS,ES,21
2014,IS,FI,1
2014,IS,FR,25
2014,IS,HU,5
2014,IS,IT,13
2014,IS,LT,1
2014,IS,NL,11
2014,IS,NO,10
2014,IS,PT,1
2014,IS,SE,15
2014,IS,SI,1
2014,IS,SK,1
2014,IS,UK,36
2014,IT,AT,356
2014,IT,BA,2
2014,IT,BE,727
2014,IT,BG,38
2014,IT,CY,26
2014,IT,CZ,226
2014,IT,DE,2301
2014,IT,DK,187
2014,IT,EE,88
2014,IT,EL,104
2014,IT,ES,5706
2014,IT,FI,288
2014,IT,FR,2611
2014,IT,GE,1
2014,IT,HR,37
2014,IT,HU,197
2014,IT,IE,256
2014,IT,IL,1
2014,IT,IS,13
2014,IT,LT,121
2014,IT,LU,9
2014,IT,LV,59
2014,IT,ME,2
2014,IT,MK,2
2014,IT,MT,64
2014,IT,NL,475
2014,IT,NO,184
2014,IT,PL,651
2014,IT,PT,991
2014,IT,RO,244
2014,IT,RU,6
2014,IT,SE,344
2014,IT,SI,57
2014,IT,SK,85
2014,IT,TR,432
2014,IT,UA,4
2014,IT,UK,1164
2014,JO,RO,1
2014,LI,BE,1
2014,LI,CY,1
2014,LI,CZ,2
2014,LI,DE,3
2014,LI,ES,4
2014,LI,FI,3
2014,LI,FR,4
2014,LI,IE,2
2014,LI,IT,1
2014,LI,NL,4
2014,LI,NO,1
2014,LI,PL,2
2014,LI,PT,1
2014,LI,UK,2
2014,LT,AM,2
2014,LT,AT,36
2014,LT,BE,59
2014,LT,BG,19
2014,LT,CY,29
2014,LT,CZ,122
2014,LT,DE,120
2014,LT,DK,49
2014,LT,EE,22
2014,LT,EL,43
2014,LT,ES,174
2014,LT,FI,61
2014,LT,FR,103
2014,LT,GE,1
2014,LT,HR,59
2014,LT,HU,28
2014,LT,IE,11
2014,LT,IT,123
