year,country_iso,total_sent,total_received
2014,AL,3,1
2014,AM,31,19
2014,AT,3518,3958
2014,AZ,1,1
2014,BA,18,11
2014,BE,4592,5520
2014,BG,874,606
2014,BY,15,8
2014,CY,221,483
2014,CZ,4608,4597
2014,DE,25936,18783
2014,DK,2314,3141
2014,DZ,1,0
2014,EE,541,876
2014,EG,5,0
2014,EL,1971,1452
2014,ES,24622,24220
2014,FI,2817,4729
2014,FR,21049,19685
2014,GE,36,19
2014,HR,603,826
2014,HU,2338,2988
2014,IE,1797,4169
2014,IL,4,3
2014,IS,201,336
2014,IT,18059,12731
2014,JO,1,19
2014,LB,0,3
2014,LI,31,32
2014,LT,1695,1442
2014,LU,315,234
2014,LV,823,791
2014,MA,0,1
2014,MD,16,12
2014,ME,3,4
2014,MK,82,28
2014,MT,141,518
2014,NL,7038,6074
2014,NO,957,3261
2014,PL,8357,8096
2014,PS,2,3
2014,PT,4385,6531
2014,RO,2718,1490
2014,RS,27,5
2014,RU,52,38
2014,SE,2313,5978
2014,SI,1093,1225
2014,SK,1978,1008
2014,TN,8,0
2014,TR,7781,4569
2014,UA,104,11
2014,UK,9975,15536
2014,XK,1,0
2015,AL,12,25
2015,AM,83,37
2015,AR,5,1
2015,AT,6420,6478
2015,AU,8,3
2015,AZ,13,5
2015,BA,32,18
2015,BE,8010,10054
2015,BG,2122,1107
2015,BR,5,5
2015,BY,49,7
2015,CA,12,9
2015,CL,0,2
2015,CN,32,0
2015,CY,528,925
2015,CZ,7628,8119
2015,DE,37773,30473
2015,DK,3681,5147
2015,DZ,15,2
2015,EE,952,1587
2015,EG,13,2
2015,EL,4558,3444
2015,ES,34774,40745
2015,FI,5428,7629
2015,FR,35798,27666
2015,GE,81,45
2015,HK,0,3
2015,HR,1590,1482
2015,HU,4103,5192
2015,ID,5,0
2015,IE,2951,6763
2015,IL,9,4
2015,IN,2,0
2015,IS,307,734
2015,IT,32161,20445
2015,JO,10,24
2015,JP,3,4
2015,KG,6,0
2015,KR,9,12
2015,KZ,1,0
